121.56.225.217	1270808082	7247577611
238.99.235.212	0	6306614231
195.131.140.215	7964290	6031330086
121.56.115.101	571528209	4728627833
121.152.118.240	126832732	4176520245
182.62.3.143	85485	3818009092
121.152.153.106	34107974734	3408664910
121.152.250.34	3946015348	3404004872
121.56.235.189	132400682	3230453269
13.114.140.21	1107303	2805778602
237.103.232.64	428619	2695853277
121.56.81.206	1267955138	2673799834
121.56.212.137	3580764877	2623844220
121.152.250.99	3924733764	2582960739
121.152.250.219	3529745086	2523376971
121.56.44.135	1219466698	2381768708
51.65.9.199	14066011	2294294662
121.56.215.20	1366309162	2243181645
121.56.65.126	8541211910	2193518362
121.56.82.89	7650249326	2081942196
121.152.71.104	712	2072149799
121.152.250.151	30514727716	1917987046
121.56.79.49	15728952686	1893629251
121.56.20.53	394332572	1855595775
121.152.250.167	99485744	1757722998
48.115.40.33	6957352	1737383224
121.56.22.194	1669618123	1724441696
48.76.217.151	16888997	1710352086
121.152.250.227	19966955038	1707405337
182.245.40.146	625949	1678528713
121.152.118.197	51917048	1673659696
121.187.189.214	38572728	1608147661
121.152.118.174	51699589	1593592427
121.152.118.127	49251265	1563453027
121.56.52.63	1453446820	1524640779
121.187.179.53	51069959	1445187398
121.187.179.121	48071444	1426692209
121.187.72.139	25480811	1422444753
182.245.26.79	35750	1412696937
121.187.96.180	11220465284	1403675266
121.152.250.66	76530643	1387255470
68.47.185.88	1457965	1381168615
121.56.107.222	1760793638	1353217377
220.146.211.27	1396423	1332388020
121.56.208.81	256461261	1316966707
2.132.196.193	48374313	1259402182
129.174.167.30	5660653	1253271394
220.167.222.96	6240379	1220861917
93.180.247.9	1529283	1173777381
16.197.212.98	20958293	1155406277
88.104.120.120	105003	1154175360
37.33.50.66	294634	1152524025
195.131.109.82	559269	1142032391
191.255.75.210	292561	1140959626
176.112.246.254	295686	1138345081
37.140.164.68	291172	1137104255
19.211.63.127	294502	1137079798
121.152.118.156	11970893	1132390303
121.152.50.144	6878807510	1130584286
37.193.145.245	288410	1128121206
37.140.0.252	288894	1127118411
176.160.124.188	285781	1118341074
155.47.78.200	285863	1116755459
223.238.220.137	283664	1109336062
148.72.95.216	281187	1099132720
148.167.104.148	280989	1098654042
155.62.46.108	281177	1098157498
191.151.213.197	278349	1087539020
39.119.80.33	357146	1073934150
181.183.10.177	277982	1073483645
238.19.255.167	324688	1060198055
128.109.214.142	270954	1056771443
148.65.202.6	294585	1049411912
37.156.243.46	264388	1042479428
176.92.117.48	282407	1035536383
121.152.118.149	11361827	1027838526
148.225.204.181	291849	1026547985
219.117.93.83	50032091	1020323558
80.120.22.213	269028	1019852718
121.56.65.120	898724858	1014773473
191.103.86.25	259704	1009794110
176.95.137.84	256720	985333981
121.56.87.175	5032936261	984333482
2.16.219.20	2365439	980378048
48.115.167.48	9216931	972262223
176.160.43.193	280232	971437746
121.187.179.234	4787780505	971257868
155.13.179.165	251237	970024017
148.81.54.29	254544	969760535
121.56.76.106	7255707932	940112010
39.178.84.86	125107399	938209861
134.250.110.65	3150492	919696815
158.160.79.148	146359395	907825241
14.9.184.114	1158030	905410212
148.65.59.73	282606	905317887
19.9.230.253	231343	903513986
51.168.223.24	18567308	900320349
32.133.76.229	230012	898660110
2.74.146.13	1130330	894766275
112.123.81.120	16525047	892666987
